candidate_id,name,experience_years,education_level,in_salary_expectation,in_preferred_seniority,in_preferred_industries,in_preferred_locations,in_true_skills,resume_skills_raw,in_quality_score
C01345,Candidate_1345,9,Bachelor,132583,Senior,"[""Transportation""]","[""Seattle, WA""]","[""SQL"", ""Tableau"", ""Cloud""]","[""MySQL"", ""tableau"", ""azure""]",0.54
C01346,Candidate_1346,12,Bachelor,231100,Lead,"[""Transportation"", ""Media"", ""Consulting""]","[""New York, NY""]","[""Cloud"", ""Leadership"", ""Python"", ""SQL""]","[""cloud"", ""Leadership"", ""py"", ""sql""]",0.743
C01347,Candidate_1347,14,Master,208883,Lead,"[""Consulting""]","[""Boston, MA"", ""Seattle, WA""]","[""Leadership"", ""NLP"", ""Excel"", ""Tableau"", ""JavaScript""]","[""team lead"", ""text mining"", ""spreadsheets"", ""dataviz"", ""javascript""]",0.683
C01348,Candidate_1348,11,Associate,177631,Lead,"[""Finance"", ""Technology""]","[""San Francisco, CA"", ""Austin, TX"", ""Boston, MA""]","[""JavaScript"", ""Statistics"", ""Python""]","[""statistics"", ""Python""]",0.86
C01349,Candidate_1349,8,Bachelor,153713,Senior,"[""Healthcare"", ""Finance""]","[""Remote""]","[""JavaScript"", ""SQL"", ""Leadership"", ""Communication""]","[""react"", ""SQL"", ""Leadership"", ""presentation""]",0.377
C01350,Candidate_1350,0,High School,72145,Entry,"[""Retail"", ""Energy""]","[""Seattle, WA"", ""San Francisco, CA"", ""Denver, CO"", ""Chicago, IL""]","[""Python"", ""NLP"", ""Cloud""]","[""python"", ""text mining"", ""gcp""]",0.292
C01351,Candidate_1351,5,Bachelor,149720,Senior,"[""Consulting"", ""Education""]","[""Denver, CO"", ""Chicago, IL"", ""Remote"", ""New York, NY""]","[""Cloud"", ""TensorFlow"", ""Docker"", ""Excel"", ""Communication"", ""NLP"", ""Python""]","[""azure"", ""tensorflow"", ""Docker"", ""spreadsheets"", ""communication"", ""nlp"", ""py""]",0.636
C01352,Candidate_1352,14,Bachelor,165160,Lead,"[""Retail"", ""Finance""]","[""San Francisco, CA"", ""New York, NY"", ""Atlanta, GA"", ""Austin, TX""]","[""Python"", ""JavaScript"", ""Docker"", ""Leadership"", ""Machine Learning"", ""TensorFlow""]","[""py"", ""node.js"", ""kubernetes"", ""people management"", ""deep learning""]",0.475
C01353,Candidate_1353,12,Bachelor,234765,Lead,"[""Transportation"", ""Consulting""]","[""Los Angeles, CA"", ""Boston, MA"", ""Seattle, WA""]","[""Python"", ""Project Management"", ""NLP"", ""TensorFlow"", ""Leadership""]","[""Python3"", ""scrum"", ""NLP"", ""tensorflow"", ""team lead""]",0.423
C01354,Candidate_1354,2,Bachelor,116768,Mid,"[""Energy"", ""Healthcare"", ""Retail""]","[""San Francisco, CA"", ""New York, NY"", ""Denver, CO"", ""Seattle, WA""]","[""SQL"", ""Python"", ""Tableau"", ""R"", ""Excel""]","[""SQL"", ""dataviz"", ""R"", ""excel""]",0.418
C01355,Candidate_1355,19,Master,187764,Lead,"[""Finance""]","[""New York, NY"", ""Boston, MA"", ""Chicago, IL"", ""Remote""]","[""Docker"", ""JavaScript"", ""TensorFlow"", ""Leadership""]","[""docker"", ""JavaScript"", ""tensorflow"", ""Leadership""]",0.423
C01356,Candidate_1356,10,High School,173030,Lead,"[""Transportation"", ""Consulting""]","[""Los Angeles, CA""]","[""Python"", ""Communication"", ""Statistics"", ""JavaScript"", ""Tableau"", ""Data Analysis""]","[""presentation"", ""Statistics"", ""node.js"", ""data visualization"", ""data analysis""]",0.6
C01357,Candidate_1357,2,Bachelor,87276,Mid,"[""Manufacturing"", ""Healthcare"", ""Technology""]","[""New York, NY"", ""Denver, CO""]","[""Statistics"", ""TensorFlow"", ""Java"", ""JavaScript""]","[""Statistics"", ""tensorflow""]",0.738
C01358,Candidate_1358,15,Bachelor,220984,Lead,"[""Transportation"", ""Healthcare""]","[""Atlanta, GA"", ""Denver, CO"", ""Los Angeles, CA""]","[""Leadership"", ""Python"", ""Project Management"", ""Machine Learning"", ""Docker"", ""NLP"", ""Java""]","[""people management"", ""Python3"", ""PM"", ""Machine Learning"", ""kubernetes"", ""natural language processing"", ""Java""]",0.774
C01359,Candidate_1359,2,Bachelor,106036,Mid,"[""Manufacturing"", ""Energy""]","[""Seattle, WA"", ""Remote""]","[""Java"", ""NLP"", ""SQL"", ""JavaScript""]","[""Java"", ""MySQL"", ""js""]",0.462
C01360,Candidate_1360,20,Master,216358,Lead,"[""Healthcare"", ""Consulting"", ""Education""]","[""Chicago, IL"", ""Seattle, WA""]","[""R"", ""Statistics"", ""Data Analysis"", ""Excel""]","[""Statistics"", ""Data Analysis""]",0.649
C01361,Candidate_1361,17,Bachelor,169890,Lead,"[""Consulting"", ""Energy""]","[""Seattle, WA"", ""Denver, CO"", ""New York, NY""]","[""Docker"", ""Statistics"", ""Leadership"", ""Tableau""]","[""Statistics"", ""team lead"", ""Tableau""]",0.585
C01362,Candidate_1362,2,Bachelor,97701,Mid,"[""Media"", ""Education"", ""Technology""]","[""Chicago, IL"", ""Atlanta, GA"", ""Austin, TX"", ""Boston, MA""]","[""Tableau"", ""Project Management"", ""Communication"", ""JavaScript"", ""Data Analysis"", ""Machine Learning""]","[""Tableau"", ""PM"", ""communication"", ""data analytics"", ""ML""]",0.417
C01363,Candidate_1363,4,Bachelor,121846,Mid,"[""Technology"", ""Education"", ""Transportation""]","[""Chicago, IL"", ""San Francisco, CA"", ""Seattle, WA""]","[""Statistics"", ""Excel"", ""Project Management"", ""NLP"", ""Java"", ""Python"", ""Docker""]","[""statistical analysis"", ""Excel"", ""scrum"", ""Python3"", ""kubernetes""]",0.55
C01364,Candidate_1364,3,Bachelor,85475,Mid,"[""Technology""]","[""Denver, CO""]","[""Docker"", ""Java"", ""SQL"", ""Tableau"", ""Machine Learning"", ""Excel""]","[""docker"", ""java"", ""MySQL"", ""ML"", ""spreadsheets""]",0.803
C01365,Candidate_1365,0,Bachelor,59851,Entry,"[""Healthcare""]","[""Denver, CO"", ""Seattle, WA""]","[""Excel"", ""TensorFlow"", ""Leadership"", ""Statistics"", ""R""]","[""excel"", ""Leadership"", ""R""]",0.56
C01366,Candidate_1366,20,Bachelor,161128,Lead,"[""Manufacturing""]","[""Los Angeles, CA""]","[""R"", ""Data Analysis"", ""Excel"", ""Python"", ""JavaScript""]","[""r"", ""analytics"", ""excel"", ""Python3""]",0.557
C01367,Candidate_1367,6,Bachelor,165294,Senior,"[""Retail""]","[""Denver, CO"", ""New York, NY""]","[""NLP"", ""Tableau"", ""Machine Learning"", ""Project Management"", ""Docker"", ""SQL""]","[""natural language processing"", ""dataviz"", ""AI/ML"", ""PM"", ""postgres""]",0.912
C01368,Candidate_1368,11,Associate,244004,Lead,"[""Retail"", ""Technology"", ""Manufacturing""]","[""Remote"", ""Seattle, WA"", ""San Francisco, CA"", ""Los Angeles, CA""]","[""Excel"", ""Data Analysis"", ""Docker"", ""Leadership"", ""Python"", ""Tableau""]","[""Excel"", ""Data Analysis"", ""Docker"", ""team lead"", ""Python3"", ""dataviz""]",0.822
C01369,Candidate_1369,20,Associate,182516,Lead,"[""Manufacturing"", ""Energy"", ""Technology""]","[""Chicago, IL""]","[""Docker"", ""Python"", ""Excel"", ""Communication""]","[""Python"", ""Excel"", ""Communication""]",0.813
C01370,Candidate_1370,1,Bachelor,82047,Entry,"[""Energy"", ""Technology"", ""Education""]","[""Boston, MA""]","[""NLP"", ""Data Analysis"", ""TensorFlow"", ""SQL"", ""Machine Learning""]","[""data analytics"", ""postgres"", ""machine learning""]",0.615
C01371,Candidate_1371,14,High School,177001,Lead,"[""Energy""]","[""Atlanta, GA"", ""San Francisco, CA"", ""New York, NY""]","[""TensorFlow"", ""Docker"", ""Project Management"", ""NLP"", ""Java""]","[""tensorflow"", ""docker"", ""Project Management"", ""nlp"", ""Java""]",0.724
C01372,Candidate_1372,1,High School,90710,Entry,"[""Energy"", ""Consulting"", ""Healthcare""]","[""Los Angeles, CA""]","[""Machine Learning"", ""Tableau"", ""Python"", ""Cloud"", ""Leadership"", ""Communication"", ""Statistics""]","[""Machine Learning"", ""Python3"", ""AWS"", ""people management"", ""statistics""]",0.701
C01373,Candidate_1373,16,Master,185439,Lead,"[""Media"", ""Consulting""]","[""San Francisco, CA"", ""Chicago, IL"", ""Boston, MA"", ""Remote""]","[""Machine Learning"", ""Cloud"", ""Leadership"", ""Tableau"", ""JavaScript""]","[""azure"", ""Leadership"", ""data visualization"", ""javascript""]",0.711
C01374,Candidate_1374,15,Master,201803,Lead,"[""Consulting""]","[""San Francisco, CA"", ""Seattle, WA"", ""Los Angeles, CA"", ""New York, NY""]","[""SQL"", ""TensorFlow"", ""Project Management"", ""Machine Learning"", ""Statistics"", ""Communication""]","[""SQL"", ""tensorflow"", ""scrum"", ""machine learning"", ""statistics"", ""communication""]",0.745
C01375,Candidate_1375,8,Bachelor,121151,Senior,"[""Consulting"", ""Transportation""]","[""Atlanta, GA"", ""Seattle, WA"", ""Chicago, IL""]","[""Communication"", ""Data Analysis"", ""Tableau""]","[""data analysis"", ""data visualization""]",0.616
C01376,Candidate_1376,5,Master,172963,Senior,"[""Finance""]","[""Atlanta, GA""]","[""Docker"", ""Data Analysis"", ""Java"", ""Statistics""]","[""kubernetes"", ""Data Analysis"", ""Java"", ""stats""]",0.356
C01377,Candidate_1377,2,Master,107072,Mid,"[""Transportation"", ""Energy""]","[""Denver, CO"", ""Seattle, WA""]","[""JavaScript"", ""Data Analysis"", ""Statistics"", ""Cloud"", ""SQL"", ""TensorFlow"", ""Docker""]","[""node.js"", ""data analysis"", ""statistical analysis"", ""Cloud"", ""PostgreSQL"", ""tensorflow""]",0.798
C01378,Candidate_1378,17,Bachelor,204354,Lead,"[""Education"", ""Manufacturing""]","[""Chicago, IL"", ""Boston, MA"", ""Los Angeles, CA""]","[""TensorFlow"", ""JavaScript"", ""Project Management"", ""NLP"", ""Tableau"", ""Cloud"", ""Statistics""]","[""PM"", ""nlp"", ""AWS"", ""Statistics""]",0.861
C01379,Candidate_1379,16,Bachelor,194648,Lead,"[""Finance"", ""Technology"", ""Consulting""]","[""Remote""]","[""Tableau"", ""Cloud"", ""Docker""]","[""Tableau"", ""cloud"", ""kubernetes""]",0.649
C01380,Candidate_1380,12,Bachelor,169376,Lead,"[""Finance"", ""Technology"", ""Retail""]","[""Atlanta, GA""]","[""Tableau"", ""Communication"", ""NLP"", ""SQL"", ""Cloud""]","[""Tableau"", ""communication"", ""nlp""]",0.95
C01381,Candidate_1381,3,Bachelor,127530,Mid,"[""Manufacturing"", ""Finance"", ""Retail""]","[""Austin, TX"", ""New York, NY""]","[""Docker"", ""SQL"", ""Excel"", ""Data Analysis"", ""NLP""]","[""PostgreSQL"", ""excel"", ""analytics"", ""natural language processing""]",0.72
C01382,Candidate_1382,5,Bachelor,157852,Senior,"[""Manufacturing"", ""Consulting"", ""Healthcare""]","[""New York, NY""]","[""Communication"", ""R"", ""NLP"", ""Machine Learning"", ""Statistics"", ""Java""]","[""Communication"", ""NLP"", ""deep learning"", ""stats"", ""Java""]",0.52
C01383,Candidate_1383,11,Bachelor,228085,Lead,"[""Media"", ""Finance"", ""Energy""]","[""Denver, CO"", ""Atlanta, GA"", ""Los Angeles, CA""]","[""Statistics"", ""NLP"", ""Project Management"", ""Docker"", ""Excel"", ""R""]","[""statistics"", ""natural language processing"", ""agile"", ""Excel"", ""R""]",0.438
C01384,Candidate_1384,13,Associate,212201,Lead,"[""Media""]","[""Los Angeles, CA"", ""Boston, MA"", ""Atlanta, GA""]","[""JavaScript"", ""Java"", ""Python""]","[""react"", ""Java"", ""Python3""]",0.708
C01385,Candidate_1385,0,Master,64906,Entry,"[""Retail"", ""Technology"", ""Healthcare""]","[""Atlanta, GA"", ""Boston, MA""]","[""Excel"", ""Java"", ""Python"", ""JavaScript"", ""Project Management""]","[""Excel"", ""Java"", ""Python3"", ""JavaScript"", ""Project Management""]",0.576
C01386,Candidate_1386,19,Bachelor,205342,Lead,"[""Transportation"", ""Education"", ""Consulting""]","[""San Francisco, CA"", ""Austin, TX"", ""Boston, MA""]","[""NLP"", ""R"", ""JavaScript"", ""Excel"", ""Leadership""]","[""NLP"", ""r"", ""JavaScript"", ""Excel"", ""leadership""]",0.726
C01387,Candidate_1387,9,Bachelor,176563,Senior,"[""Consulting""]","[""Austin, TX"", ""Remote"", ""Seattle, WA"", ""Atlanta, GA""]","[""Leadership"", ""Tableau"", ""Python"", ""TensorFlow"", ""Machine Learning"", ""Statistics"", ""JavaScript""]","[""Leadership"", ""tableau"", ""tensorflow"", ""statistics"", ""js""]",0.73
C01388,Candidate_1388,12,Master,160553,Lead,"[""Media"", ""Transportation"", ""Technology""]","[""Austin, TX"", ""Denver, CO"", ""Remote""]","[""Project Management"", ""SQL"", ""Machine Learning"", ""Excel""]","[""Project Management"", ""postgres"", ""Machine Learning"", ""spreadsheets""]",0.667
C01389,Candidate_1389,19,Master,169884,Lead,"[""Energy"", ""Healthcare"", ""Media""]","[""Seattle, WA"", ""Denver, CO"", ""Los Angeles, CA""]","[""Communication"", ""TensorFlow"", ""Python""]","[""TensorFlow""]",0.711
C01390,Candidate_1390,12,Bachelor,186945,Lead,"[""Media""]","[""San Francisco, CA"", ""Remote"", ""Seattle, WA"", ""Los Angeles, CA""]","[""NLP"", ""Project Management"", ""TensorFlow"", ""R"", ""Excel""]","[""PM"", ""R programming"", ""spreadsheets""]",0.801
C01391,Candidate_1391,20,Master,161049,Lead,"[""Technology"", ""Transportation""]","[""Denver, CO"", ""Chicago, IL""]","[""JavaScript"", ""Project Management"", ""SQL""]","[""JavaScript"", ""scrum"", ""postgres""]",0.516
C01392,Candidate_1392,4,Master,92669,Mid,"[""Retail"", ""Consulting"", ""Manufacturing""]","[""Austin, TX"", ""Los Angeles, CA"", ""Denver, CO""]","[""Cloud"", ""Docker"", ""TensorFlow"", ""NLP"", ""Tableau"", ""Java"", ""Machine Learning""]","[""azure"", ""kubernetes"", ""tf"", ""natural language processing"", ""Tableau"", ""Java"", ""deep learning""]",0.533
C01393,Candidate_1393,13,Associate,168284,Lead,"[""Transportation""]","[""Austin, TX"", ""Atlanta, GA"", ""New York, NY""]","[""Communication"", ""Project Management"", ""NLP"", ""Docker"", ""Python"", ""JavaScript"", ""TensorFlow""]","[""presentation"", ""Project Management"", ""NLP"", ""docker"", ""Python""]",0.478
C01394,Candidate_1394,11,Associate,186246,Lead,"[""Technology""]","[""Seattle, WA"", ""San Francisco, CA"", ""Boston, MA""]","[""Docker"", ""Excel"", ""Machine Learning""]","[""docker""]",0.726
C01395,Candidate_1395,13,PhD,178365,Lead,"[""Technology"", ""Media""]","[""Atlanta, GA""]","[""R"", ""Python"", ""SQL"", ""Docker"", ""Data Analysis"", ""Project Management"", ""Tableau""]","[""r"", ""python"", ""postgres"", ""k8s"", ""project management""]",0.274
C01396,Candidate_1396,10,Bachelor,229054,Lead,"[""Media"", ""Transportation""]","[""Austin, TX"", ""Boston, MA"", ""New York, NY"", ""Remote""]","[""JavaScript"", ""R"", ""Docker"", ""Leadership"", ""Tableau"", ""Project Management""]","[""react"", ""R programming"", ""Docker"", ""team lead"", ""Tableau"", ""PM""]",0.591
C01397,Candidate_1397,6,Master,173067,Senior,"[""Retail"", ""Consulting"", ""Finance""]","[""San Francisco, CA"", ""Boston, MA"", ""Los Angeles, CA""]","[""Statistics"", ""JavaScript"", ""TensorFlow""]","[""stats"", ""javascript"", ""pytorch""]",0.701
C01398,Candidate_1398,6,Bachelor,157161,Senior,"[""Education"", ""Retail"", ""Manufacturing""]","[""Remote"", ""New York, NY""]","[""Java"", ""R"", ""Data Analysis"", ""SQL"", ""Python"", ""TensorFlow"", ""Tableau""]","[""Java"", ""R programming"", ""Data Analysis"", ""Python"", ""tableau""]",0.473
C01399,Candidate_1399,7,Associate,143876,Senior,"[""Finance"", ""Education"", ""Retail""]","[""Chicago, IL""]","[""SQL"", ""Data Analysis"", ""TensorFlow"", ""NLP""]","[""data analysis"", ""NLP""]",0.612
C01400,Candidate_1400,13,Bachelor,205635,Lead,"[""Media"", ""Finance""]","[""San Francisco, CA""]","[""Java"", ""R"", ""NLP"", ""Data Analysis"", ""Communication"", ""Tableau""]","[""java"", ""r"", ""natural language processing"", ""data visualization""]",0.278
C01401,Candidate_1401,18,Master,195442,Lead,"[""Technology"", ""Manufacturing"", ""Retail""]","[""Remote"", ""Chicago, IL"", ""San Francisco, CA"", ""Los Angeles, CA""]","[""Python"", ""Statistics"", ""NLP"", ""SQL"", ""Docker"", ""Java"", ""JavaScript""]","[""py"", ""Statistics"", ""text mining"", ""SQL"", ""Java"", ""react""]",0.466
C01402,Candidate_1402,9,Bachelor,166102,Senior,"[""Consulting""]","[""Austin, TX""]","[""Communication"", ""SQL"", ""TensorFlow"", ""Docker"", ""Excel"", ""Cloud""]","[""Communication"", ""SQL"", ""TensorFlow"", ""k8s"", ""spreadsheets"", ""gcp""]",0.629
C01403,Candidate_1403,15,Bachelor,194272,Lead,"[""Retail""]","[""New York, NY"", ""Chicago, IL"", ""Seattle, WA""]","[""Docker"", ""Machine Learning"", ""Statistics"", ""JavaScript"", ""R"", ""Java"", ""Python""]","[""k8s"", ""Machine Learning"", ""stats"", ""javascript"", ""R"", ""Java"", ""Python3""]",0.84
C01404,Candidate_1404,0,Bachelor,63673,Entry,"[""Education"", ""Consulting"", ""Retail""]","[""Atlanta, GA"", ""Seattle, WA"", ""Boston, MA""]","[""Java"", ""Excel"", ""JavaScript"", ""Communication"", ""NLP"", ""TensorFlow"", ""SQL""]","[""java"", ""Excel"", ""node.js"", ""Communication"", ""text mining"", ""tf"", ""SQL""]",0.431
C01405,Candidate_1405,6,PhD,138822,Senior,"[""Energy"", ""Retail"", ""Consulting""]","[""Boston, MA"", ""New York, NY"", ""Atlanta, GA"", ""Remote""]","[""Python"", ""SQL"", ""Project Management"", ""R"", ""Java"", ""Statistics"", ""Machine Learning""]","[""Python3"", ""MySQL"", ""project management"", ""R"", ""Java"", ""statistics""]",0.542
C01406,Candidate_1406,9,Master,161804,Senior,"[""Education"", ""Energy""]","[""New York, NY""]","[""Project Management"", ""Java"", ""Machine Learning"", ""Python"", ""Communication""]","[""AI/ML"", ""python"", ""presentation""]",0.492
C01407,Candidate_1407,20,PhD,196137,Lead,"[""Media"", ""Healthcare"", ""Energy""]","[""Austin, TX"", ""Remote""]","[""TensorFlow"", ""Docker"", ""NLP""]","[""tensorflow"", ""text mining""]",0.479
C01408,Candidate_1408,20,Bachelor,184063,Lead,"[""Media"", ""Technology""]","[""Los Angeles, CA"", ""Atlanta, GA"", ""Boston, MA""]","[""Excel"", ""Statistics"", ""Machine Learning""]","[""Excel"", ""statistical analysis"", ""AI/ML""]",0.552
C01409,Candidate_1409,8,Master,134986,Senior,"[""Education"", ""Manufacturing""]","[""Remote"", ""Chicago, IL"", ""San Francisco, CA"", ""Los Angeles, CA""]","[""JavaScript"", ""SQL"", ""Leadership"", ""Data Analysis"", ""Tableau"", ""Java""]","[""js"", ""postgres"", ""people management"", ""tableau"", ""Java""]",0.588
C01410,Candidate_1410,9,PhD,147676,Senior,"[""Media""]","[""Atlanta, GA"", ""New York, NY"", ""Boston, MA"", ""Remote""]","[""Machine Learning"", ""Leadership"", ""Docker""]","[""AI/ML"", ""kubernetes""]",0.57
C01411,Candidate_1411,1,Bachelor,65869,Entry,"[""Energy"", ""Manufacturing""]","[""Denver, CO"", ""Boston, MA"", ""Austin, TX"", ""San Francisco, CA""]","[""Python"", ""Project Management"", ""Leadership""]","[""Python3"", ""agile"", ""team lead""]",0.486
C01412,Candidate_1412,12,Master,195233,Lead,"[""Healthcare"", ""Education""]","[""Remote"", ""Seattle, WA"", ""Denver, CO""]","[""Machine Learning"", ""Leadership"", ""Java"", ""NLP"", ""Cloud"", ""Tableau""]","[""deep learning"", ""Java"", ""NLP"", ""cloud"", ""dataviz""]",0.602
C01413,Candidate_1413,4,Bachelor,84498,Mid,"[""Healthcare"", ""Retail"", ""Finance""]","[""Seattle, WA"", ""Los Angeles, CA""]","[""Python"", ""NLP"", ""Communication""]","[""Python3""]",0.447
C01414,Candidate_1414,8,PhD,158837,Senior,"[""Healthcare""]","[""Remote"", ""Austin, TX"", ""Boston, MA""]","[""Java"", ""NLP"", ""Communication"", ""Cloud"", ""TensorFlow""]","[""Java"", ""natural language processing"", ""Communication"", ""gcp""]",0.734
C01415,Candidate_1415,1,Bachelor,72885,Entry,"[""Technology"", ""Consulting"", ""Retail""]","[""Austin, TX"", ""New York, NY""]","[""Tableau"", ""Statistics"", ""Java"", ""JavaScript"", ""TensorFlow"", ""Machine Learning""]","[""data visualization"", ""statistics"", ""tensorflow"", ""deep learning""]",0.684
C01416,Candidate_1416,20,Master,215279,Lead,"[""Energy"", ""Media""]","[""San Francisco, CA"", ""Remote""]","[""Leadership"", ""Python"", ""Machine Learning""]","[""team lead"", ""python"", ""deep learning""]",0.667
C01417,Candidate_1417,1,Bachelor,82609,Entry,"[""Transportation"", ""Education""]","[""Seattle, WA"", ""New York, NY""]","[""Project Management"", ""Tableau"", ""Communication"", ""JavaScript"", ""Statistics"", ""Machine Learning""]","[""agile"", ""dataviz"", ""Communication"", ""react"", ""stats"", ""AI/ML""]",0.605
C01418,Candidate_1418,10,Bachelor,174307,Lead,"[""Healthcare"", ""Education""]","[""Boston, MA"", ""Seattle, WA"", ""New York, NY"", ""Denver, CO""]","[""TensorFlow"", ""Cloud"", ""Java"", ""Project Management"", ""Excel"", ""Communication"", ""Docker""]","[""TensorFlow"", ""azure"", ""java"", ""scrum"", ""communication"", ""docker""]",0.655
C01419,Candidate_1419,12,Bachelor,217563,Lead,"[""Education"", ""Finance""]","[""San Francisco, CA"", ""Denver, CO""]","[""Leadership"", ""Statistics"", ""R"", ""Communication"", ""NLP"", ""Excel""]","[""team lead"", ""statistics"", ""communication"", ""nlp"", ""Excel""]",0.918
C01420,Candidate_1420,15,Bachelor,239336,Lead,"[""Technology""]","[""New York, NY"", ""Atlanta, GA"", ""Seattle, WA""]","[""Data Analysis"", ""Cloud"", ""Excel"", ""Tableau""]","[""data analytics"", ""AWS"", ""Excel"", ""tableau""]",0.3
C01421,Candidate_1421,10,Bachelor,190622,Lead,"[""Manufacturing"", ""Education"", ""Retail""]","[""Atlanta, GA"", ""Chicago, IL""]","[""TensorFlow"", ""Java"", ""R"", ""Project Management"", ""Machine Learning"", ""Cloud"", ""Python""]","[""TensorFlow"", ""java"", ""R programming"", ""agile"", ""AI/ML"", ""Cloud"", ""py""]",0.489
C01422,Candidate_1422,13,Master,191012,Lead,"[""Energy""]","[""Boston, MA"", ""Chicago, IL"", ""San Francisco, CA""]","[""NLP"", ""Leadership"", ""Tableau""]","[""NLP"", ""team lead"", ""Tableau""]",0.65
C01423,Candidate_1423,17,Bachelor,231295,Lead,"[""Transportation"", ""Education"", ""Healthcare""]","[""Austin, TX""]","[""Cloud"", ""Python"", ""Machine Learning"", ""Communication"", ""Tableau""]","[""azure"", ""python"", ""deep learning"", ""communication"", ""tableau""]",0.674
C01424,Candidate_1424,20,Bachelor,224927,Lead,"[""Healthcare""]","[""Remote"", ""Chicago, IL"", ""Boston, MA"", ""Seattle, WA""]","[""Excel"", ""R"", ""Leadership"", ""Statistics"", ""Java"", ""TensorFlow""]","[""spreadsheets"", ""r"", ""Leadership"", ""Java"", ""pytorch""]",0.677
C01425,Candidate_1425,8,Bachelor,160102,Senior,"[""Media"", ""Technology"", ""Energy""]","[""Atlanta, GA"", ""Remote"", ""San Francisco, CA"", ""New York, NY""]","[""Cloud"", ""Project Management"", ""Leadership""]","[""azure"", ""Project Management"", ""people management""]",0.685
C01426,Candidate_1426,3,Bachelor,87780,Mid,"[""Media"", ""Technology""]","[""Denver, CO"", ""Remote"", ""Austin, TX"", ""Atlanta, GA""]","[""Cloud"", ""Statistics"", ""Python"", ""Project Management"", ""NLP"", ""Tableau""]","[""gcp"", ""Python3"", ""agile"", ""data visualization""]",0.681
C01427,Candidate_1427,19,High School,233069,Lead,"[""Manufacturing"", ""Retail""]","[""Boston, MA"", ""Remote"", ""New York, NY""]","[""Communication"", ""R"", ""Project Management"", ""Data Analysis"", ""Python"", ""JavaScript""]","[""presentation"", ""R programming"", ""scrum"", ""data analysis"", ""py"", ""javascript""]",0.433
C01428,Candidate_1428,12,Master,202325,Lead,"[""Retail"", ""Consulting"", ""Energy""]","[""Chicago, IL"", ""Austin, TX""]","[""Leadership"", ""Java"", ""Data Analysis""]","[""Data Analysis""]",0.292
C01429,Candidate_1429,15,Master,210298,Lead,"[""Finance"", ""Transportation""]","[""Boston, MA""]","[""SQL"", ""Communication"", ""Tableau"", ""Docker"", ""R"", ""Excel""]","[""sql"", ""communication"", ""data visualization"", ""kubernetes"", ""R programming"", ""excel""]",0.689
C01430,Candidate_1430,14,Associate,186942,Lead,"[""Transportation""]","[""Boston, MA"", ""Chicago, IL"", ""New York, NY"", ""Seattle, WA""]","[""R"", ""Java"", ""Data Analysis"", ""Tableau""]","[""R programming"", ""Java"", ""data analytics"", ""data visualization""]",0.823
C01431,Candidate_1431,4,Bachelor,90572,Mid,"[""Education""]","[""New York, NY"", ""Chicago, IL""]","[""Python"", ""Statistics"", ""Docker"", ""Communication""]","[""py"", ""statistics"", ""Docker"", ""Communication""]",0.518
C01432,Candidate_1432,17,Master,193052,Lead,"[""Education"", ""Energy""]","[""San Francisco, CA"", ""Remote"", ""Los Angeles, CA""]","[""Excel"", ""Java"", ""Communication""]","[""Java"", ""communication""]",0.575
C01433,Candidate_1433,16,PhD,211061,Lead,"[""Manufacturing"", ""Healthcare""]","[""San Francisco, CA"", ""New York, NY"", ""Atlanta, GA""]","[""NLP"", ""Project Management"", ""Python"", ""SQL"", ""JavaScript""]","[""text mining"", ""python"", ""postgres"", ""react""]",0.546
C01434,Candidate_1434,1,Master,80628,Entry,"[""Healthcare"", ""Finance""]","[""New York, NY"", ""Atlanta, GA"", ""Boston, MA"", ""San Francisco, CA""]","[""Communication"", ""Data Analysis"", ""Cloud"", ""Statistics"", ""JavaScript"", ""Machine Learning"", ""SQL""]","[""communication"", ""analytics"", ""cloud"", ""Statistics"", ""javascript"", ""AI/ML"", ""MySQL""]",0.435
C01435,Candidate_1435,9,Master,151770,Senior,"[""Technology""]","[""Austin, TX""]","[""Java"", ""Docker"", ""Python"", ""TensorFlow"", ""Data Analysis"", ""JavaScript""]","[""Docker"", ""Python3"", ""TensorFlow"", ""analytics"", ""javascript""]",0.367
C01436,Candidate_1436,9,Bachelor,158955,Senior,"[""Education"", ""Healthcare""]","[""Denver, CO"", ""Seattle, WA""]","[""JavaScript"", ""Communication"", ""Leadership"", ""R"", ""Java""]","[""presentation"", ""Leadership"", ""r"", ""java""]",0.56
C01437,Candidate_1437,5,Master,152880,Senior,"[""Healthcare"", ""Transportation""]","[""Atlanta, GA"", ""Denver, CO"", ""Remote"", ""Chicago, IL""]","[""SQL"", ""TensorFlow"", ""R"", ""Communication"", ""Excel"", ""Python"", ""Project Management""]","[""sql"", ""pytorch"", ""R programming"", ""communication"", ""python"", ""project management""]",0.694
C01438,Candidate_1438,13,Master,193244,Lead,"[""Transportation""]","[""Boston, MA""]","[""JavaScript"", ""Docker"", ""Project Management"", ""Communication"", ""Machine Learning""]","[""react"", ""docker"", ""Project Management"", ""presentation"", ""deep learning""]",0.542
C01439,Candidate_1439,18,Master,217041,Lead,"[""Media"", ""Retail""]","[""Chicago, IL"", ""Atlanta, GA""]","[""Project Management"", ""Python"", ""Excel"", ""Communication"", ""Docker"", ""Leadership""]","[""python"", ""presentation"", ""docker"", ""team lead""]",0.766
